"city","city_ascii","state_id","state_name","county_fips","county_name","county_fips_all","county_name_all","lat","lng","population","density","source","military","incorporated","timezone","ranking","zips","id"
"Soldiers Grove","Soldiers Grove","WI","Wisconsin","55023","Crawford","55023","Crawford","43.3921","-90.7735","550","59","polygon","FALSE","TRUE","America/Chicago","3","54655","1840002881"
"La Farge","La Farge","WI","Wisconsin","55123","Vernon","55123","Vernon","43.5782","-90.6381","763","292","polygon","FALSE","TRUE","America/Chicago","3","54639","1840002692"
"McFarland","McFarland","WI","Wisconsin","55025","Dane","55025","Dane","43.0196","-89.2868","8449","780","polygon","FALSE","TRUE","America/Chicago","3","53558","1840002914"
"Waumandee","Waumandee","WI","Wisconsin","55011","Buffalo","55011","Buffalo","44.3024","-91.7051","77","170","polygon","FALSE","FALSE","America/Chicago","3","54622","1840025360"
"Potosi","Potosi","WI","Wisconsin","55043","Grant","55043","Grant","42.6875","-90.7107","670","157","polygon","FALSE","TRUE","America/Chicago","3","53820","1840002982"
"Fall River","Fall River","WI","Wisconsin","55021","Columbia","55021","Columbia","43.3856","-89.0456","1704","359","polygon","FALSE","TRUE","America/Chicago","3","53932","1840002706"
"Cambridge","Cambridge","WI","Wisconsin","55055","Jefferson","55055|55025","Jefferson|Dane","43.0071","-89.0214","2685.0","398","polygon","FALSE","TRUE","America/Chicago","3","53523","1840002909"
"Gresham","Gresham","WI","Wisconsin","55115","Shawano","55115","Shawano","44.8478","-88.7856","566","191","polygon","FALSE","TRUE","America/Chicago","3","54128","1840002260"
"Zoar","Zoar","WI","Wisconsin","55078","Menominee","55078","Menominee","45.0178","-88.8945","94","4","polygon","FALSE","FALSE","America/Chicago","3","54150","1840006753"
"Wrightstown","Wrightstown","WI","Wisconsin","55009","Brown","55009|55087","Brown|Outagamie","44.3263","-88.1758","3040.0","307","polygon","FALSE","TRUE","America/Chicago","3","54180","1840002343"
"Two Rivers","Two Rivers","WI","Wisconsin","55071","Manitowoc","55071","Manitowoc","44.1564","-87.5824","11153","712","polygon","FALSE","TRUE","America/Chicago","3","54241","1840002206"
"Somerset","Somerset","WI","Wisconsin","55109","St. Croix","55109","St. Croix","45.1269","-92.6756","2743.0","370","polygon","FALSE","TRUE","America/Chicago","3","54025","1840002129"
"Delavan Lake","Delavan Lake","WI","Wisconsin","55127","Walworth","55127","Walworth","42.5987","-88.6177","2467","231","polygon","FALSE","FALSE","America/Chicago","3","53115","1840004479"
"Clintonville","Clintonville","WI","Wisconsin","55135","Waupaca","55135","Waupaca","44.6221","-88.7513","4285.0","378","polygon","FALSE","TRUE","America/Chicago","3","54929","1840002358"
"Stoddard","Stoddard","WI","Wisconsin","55123","Vernon","55123","Vernon","43.6622","-91.2181","822","508","polygon","FALSE","TRUE","America/Chicago","3","54658","1840002687"
"Benton","Benton","WI","Wisconsin","55065","Lafayette","55065","Lafayette","42.5702","-90.3835","947","444","polygon","FALSE","TRUE","America/Chicago","3","53803","1840003096"
"Wisconsin Dells","Wisconsin Dells","WI","Wisconsin","55021","Columbia","55021|55111|55001","Columbia|Sauk|Adams","43.6336","-89.7752","2978","146","polygon","FALSE","TRUE","America/Chicago","3","53965","1840002703"
"Rhinelander","Rhinelander","WI","Wisconsin","55085","Oneida","55085","Oneida","45.6360","-89.4256","8738.0","350","polygon","FALSE","TRUE","America/Chicago","3","54501","1840002046"
"Redgranite","Redgranite","WI","Wisconsin","55137","Waushara","55137","Waushara","44.0513","-89.1058","2138","349","polygon","FALSE","TRUE","America/Chicago","3","54970","1840002241"
"Taylor","Taylor","WI","Wisconsin","55053","Jackson","55053","Jackson","44.3217","-91.1206","470","248","polygon","FALSE","TRUE","America/Chicago","3","54659","1840002394"
"Sextonville","Sextonville","WI","Wisconsin","55103","Richland","55103","Richland","43.2797","-90.2922","371","163","polygon","FALSE","FALSE","America/Chicago","3","53581 53556 53584","1840025442"
"Rock Springs","Rock Springs","WI","Wisconsin","55111","Sauk","55111","Sauk","43.4790","-89.9177","363","107","polygon","FALSE","TRUE","America/Chicago","3","53961","1840002728"
"Angelica","Angelica","WI","Wisconsin","55115","Shawano","55115","Shawano","44.6750","-88.3215","99","24","polygon","FALSE","FALSE","America/Chicago","3","54162","1840023918"
"Franks Field","Franks Field","WI","Wisconsin","55003","Ashland","55003","Ashland","46.5522","-90.5989","173","52","polygon","FALSE","TRUE","America/Chicago","3","54806","1840042159"
"Coloma","Coloma","WI","Wisconsin","55137","Waushara","55137","Waushara","44.0386","-89.5310","446","115","polygon","FALSE","TRUE","America/Chicago","3","54930","1840002238"
"Fond du Lac","Fond du Lac","WI","Wisconsin","55039","Fond du Lac","55039","Fond du Lac","43.7718","-88.4397","54629.0","867","polygon","FALSE","TRUE","America/Chicago","3","54937 54935 54936","1840002603"
"Dousman","Dousman","WI","Wisconsin","55133","Waukesha","55133","Waukesha","43.0088","-88.4760","2314","342","polygon","FALSE","TRUE","America/Chicago","3","53118","1840003018"
"Thorp","Thorp","WI","Wisconsin","55019","Clark","55019","Clark","44.9580","-90.8023","1623","427","polygon","FALSE","TRUE","America/Chicago","3","54771","1840002176"
"Cameron","Cameron","WI","Wisconsin","55005","Barron","55005","Barron","45.4057","-91.7423","1784","262","polygon","FALSE","TRUE","America/Chicago","3","54822","1840002070"
"Rib Lake","Rib Lake","WI","Wisconsin","55119","Taylor","55119","Taylor","45.3196","-90.2031","879","194","polygon","FALSE","TRUE","America/Chicago","3","54470","1840001572"
"Richland Center","Richland Center","WI","Wisconsin","55103","Richland","55103","Richland","43.3403","-90.3840","4841.0","414","polygon","FALSE","TRUE","America/Chicago","3","53581","1840024306"
"Somers","Somers","WI","Wisconsin","55059","Kenosha","55059","Kenosha","42.6411","-87.8919","8289","126","polygon","FALSE","TRUE","America/Chicago","3","53144 53140 53171","1840038024"
"Osseo","Osseo","WI","Wisconsin","55121","Trempealeau","55121","Trempealeau","44.5795","-91.2120","1675","315","polygon","FALSE","TRUE","America/Chicago","3","54758","1840002392"
"Frederic","Frederic","WI","Wisconsin","55095","Polk","55095","Polk","45.6548","-92.4647","1103","250","polygon","FALSE","TRUE","America/Chicago","3","54837","1840002048"
"Oakfield","Oakfield","WI","Wisconsin","55039","Fond du Lac","55039","Fond du Lac","43.6843","-88.5476","1070","420","polygon","FALSE","TRUE","America/Chicago","3","53065","1840002608"
"Alma","Alma","WI","Wisconsin","55011","Buffalo","55011","Buffalo","44.3366","-91.9222","715","52","polygon","FALSE","TRUE","America/Chicago","3","54622 54610","1840002379"
